dataset,classifier,metric,mean,std
LED-display-domain-7digit,PW-NB(k=30),accuracy,0.716,0.07290785661062571
LED-display-domain-7digit,PW-NB(k=30),auc_roc,0.9190901522159617,0.045784674969990294
LED-display-domain-7digit,PW-NB(k=30),balanced_accuracy,0.7171666666666667,0.08366987598979785
LED-display-domain-7digit,PW-NB(k=30),brier_score,0.5551368684083388,0.14619980462734483
LED-display-domain-7digit,PW-NB(k=30),ece,0.2789756919748882,0.0718860235396855
LED-display-domain-7digit,PW-NB(k=30),geometric_mean,0.618743039895055,0.23229376659624737
LED-display-domain-7digit,PW-NB(k=30),log_loss,6.447105068541137,2.8537712724728066
LED-display-domain-7digit,PW-NB(k=30),macro_f1,0.7045107436423226,0.08227306115368781
LED-display-domain-7digit,PW-NB(k=30),mcc,0.6897410447541542,0.08075675999210453
LED-display-domain-7digit,PW-NB(k=30),mean_pr,0.5892814814814815,0.011201010797682659
LED-display-domain-7digit,PW-NB(k=30),weighted_f1,0.7071566421882212,0.07370097054734938
LED-display-domain-7digit,PW-NB(k=45),accuracy,0.712,0.07375635565834313
LED-display-domain-7digit,PW-NB(k=45),auc_roc,0.9194181715396331,0.04598851593932002
LED-display-domain-7digit,PW-NB(k=45),balanced_accuracy,0.7131666666666667,0.08495260116349845
LED-display-domain-7digit,PW-NB(k=45),brier_score,0.5528361888376422,0.14368750246746384
LED-display-domain-7digit,PW-NB(k=45),ece,0.2777190818491159,0.07043422385358583
LED-display-domain-7digit,PW-NB(k=45),geometric_mean,0.615471026805596,0.23177449067810202
LED-display-domain-7digit,PW-NB(k=45),log_loss,6.287470178037021,2.843256100388436
LED-display-domain-7digit,PW-NB(k=45),macro_f1,0.70006216006216,0.08302074332216319
LED-display-domain-7digit,PW-NB(k=45),mcc,0.6850506215670532,0.08179268484369703
LED-display-domain-7digit,PW-NB(k=45),mean_pr,0.5776936026936027,0.011119873502630655
LED-display-domain-7digit,PW-NB(k=45),weighted_f1,0.7029600066600066,0.07416294908355567
LED-display-domain-7digit,PW-NB(k=5),accuracy,0.678,0.07568942389058651
LED-display-domain-7digit,PW-NB(k=5),auc_roc,0.9071151898261057,0.04898316918255211
LED-display-domain-7digit,PW-NB(k=5),balanced_accuracy,0.6775,0.08495914050621955
LED-display-domain-7digit,PW-NB(k=5),brier_score,0.6068340254404443,0.15958156702722587
LED-display-domain-7digit,PW-NB(k=5),ece,0.30824581784536365,0.07581635525855242
LED-display-domain-7digit,PW-NB(k=5),geometric_mean,0.6431116950813349,0.09139197857417482
LED-display-domain-7digit,PW-NB(k=5),log_loss,6.821975456140547,2.5360357714563317
LED-display-domain-7digit,PW-NB(k=5),macro_f1,0.6732324897324897,0.08238531636109729
LED-display-domain-7digit,PW-NB(k=5),mcc,0.6463255029573296,0.08436990341856761
LED-display-domain-7digit,PW-NB(k=5),mean_pr,0.6414222222222222,0.019581128060755
LED-display-domain-7digit,PW-NB(k=5),weighted_f1,0.6756595182595182,0.07498100788131377
MagicTelescope,BernoulliNB,accuracy,0.7549421661409044,0.009009664065136402
MagicTelescope,BernoulliNB,auc_roc,0.7753427565243947,0.011025294202001636
MagicTelescope,BernoulliNB,balanced_accuracy,0.6974907093224406,0.011642676992958928
MagicTelescope,BernoulliNB,brier_score,0.3435117657620543,0.007329869364009909
MagicTelescope,BernoulliNB,ece,0.06371272192951452,0.009811561697337936
MagicTelescope,BernoulliNB,geometric_mean,0.6699127572318319,0.015162745662215416
MagicTelescope,BernoulliNB,log_loss,0.5242274341724605,0.009727359538257069
MagicTelescope,BernoulliNB,macro_f1,0.7080078160657884,0.012178139951425731
MagicTelescope,BernoulliNB,mcc,0.43685328465560447,0.022444657405465234
MagicTelescope,BernoulliNB,weighted_f1,0.7427363842061437,0.01022997747012506
